Job Name,Company,Location
Data Analyst / BI Specialist (m/w/d),J.T. Ronnefeldt KG,"Frankfurt, Hesse, Germany"
Senior Analytics Engineer / BI (all genders),Banxware,"Berlin, Berlin, Germany"
Young Professional | Data Analysis (m/w/d),ASAP Gruppe,"Ingolstadt, Bavaria, Germany"
Commercial Analyst,VARO Energy,"Hamburg, Hamburg, Germany"
"Sr. Data Analyst, Customer Insights, EU",Athletic Greens,Germany
Business Data Analyst (all people) im Home Office,ExB Group,Germany
Data Analyst (m/w/d),Glasfaser NordWest GmbH & Co. KG,"Oldenburg, Lower Saxony, Germany"
Research Associate (m/f/x),Technische Universität Dresden,"Dresden, Saxony, Germany"
Business Analyst Kundendatenmanagement (m/w/d),Allianz,"Unterföhring, Bavaria, Germany"
Junior Data Engineer (m/w/d),taod Consulting GmbH,"Cologne, North Rhine-Westphalia, Germany"
Data Scientist (Full Stack) m/w/d,Mediengruppe Neue Westfälische,"Bielefeld, North Rhine-Westphalia, Germany"
Data Analyst in Vollzeit (m/w/d),Thermengruppe Josef Wund,"Titisee-Neustadt, Baden-Württemberg, Germany"
AI Developer,ZAUBAR,Germany
BI Developer,DHL Global Forwarding,"Bonn, North Rhine-Westphalia, Germany"
Senior Business Analyst (Back Office),payabl.,Frankfurt Rhine-Main Metropolitan Area
Data Scientist (m/w/d),be.storaged GmbH,"Hude, Lower Saxony, Germany"
Data Scientist and Process Mining Architect,Processand,"Munich, Bavaria, Germany"
(Junior) Data Analyst (m/w/d) Hotel,CHECK24 Vergleichsportal GmbH,"Münster, North Rhine-Westphalia, Germany"
Data Analyst (f/m/d),E-FARM,"Hamburg, Hamburg, Germany"
"Research Assistant (f/d/m, 75%, 3y) as Service Designer at Place Beyond Bytes @ University of Duisburg-Essen",join.com,"Essen, North Rhine-Westphalia, Germany"
"Head of Analytics in Grünenplan, Deutschland",Energy Jobline,"Delligsen, Lower Saxony, Germany"
Research Associate in Data Science (Natural Language Processing) § 28 Subsection 1 HmbHG,University of Hamburg,"Hamburg, Hamburg, Germany"
Junior Business Analyst (m/w/d),DOS Software-Systeme GmbH,Hannover-Braunschweig-Göttingen-Wolfsburg Region
"Excel - Spezialist (remote) in Frickenhausen, Deutschland",Energy Jobline,"Frickenhausen, Baden-Württemberg, Germany"
UI/UX Designer,Happy Mammoth,"Berlin, Berlin, Germany"
Data Engineer (gn) in Füssen,Klinikgruppe Enzensberg,"Bavaria, Germany"
Internship Junior Consultant (m/f/d),nugrow,"Bochum, North Rhine-Westphalia, Germany"
"Bachelor of Science (m/w/d) Data Science und Künstliche Intelligenz, Start 2024",TecAlliance,"Weikersheim, Baden-Württemberg, Germany"
"Bachelor of Science (m/w/d) Data Science und Künstliche Intelligenz, Start 2024",TecAlliance,"Weikersheim, Baden-Württemberg, Germany"
Analyst (f/m/d) Power BI,Siemens,"Nuremberg, Bavaria, Germany"
Senior Master Data Management Manager,DHL,"Bonn, North Rhine-Westphalia, Germany"
"Researcher/Associate Consultant, Business Intelligence",Control Risks,"Berlin, Berlin, Germany"
